panel,x,eq6b,eq12a,eq12b,eq16A,eq16B
10a,0.623125,1.5062095561200524,1.245635875,1.3030029018377045,1.2542961311340681,1.255357795327894
10a,0.6253124999999999,1.5073493210128075,1.2464981874999999,1.3033216209074303,1.254652841609345,1.2546429004721515
10a,0.6275,1.5084948154156246,1.2473604999999999,1.3036395604583475,1.2550088041502125,1.2539324930773317
10a,0.6296875,1.5096460615274754,1.2482228125,1.3039567251045012,1.2553640229240737,1.2532265294784883
10a,0.631875,1.5108030817067568,1.249085125,1.3042731194167105,1.2557185020607293,1.2525249665852995
10a,0.6340625,1.511965898472495,1.2499474375,1.304588747923122,1.2560722456528457,1.2518277618725488
10a,0.63625,1.5131345345055605,1.25080975,1.3049036151097528,1.256425257756417,1.2511348733707968
10a,0.6384375,1.5143090126498964,1.2516720625,1.3052177254210282,1.2567775423912166,1.2504462596572359
10a,0.640625,1.515489355913759,1.252534375,1.305531083260305,1.2571291035412453,1.2497618798467296
10a,0.6428125,1.5166755874709703,1.2533966875,1.3058436929903927,1.2574799451551693,1.2490816935830258
10a,0.645,1.5178677306621835,1.254259,1.3061555589340612,1.2578300711467532,1.2484056610301446
10a,0.6471875,1.5190658089961595,1.2551213125,1.3064666853745446,1.2581794853952855,1.2477337428639341
10a,0.649375,1.520269846151058,1.255983625,1.3067770765560334,1.2585281917459978,1.2470659002637925
10a,0.6515625,1.5214798659757418,1.2568459375,1.3070867366841616,1.2588761940104778,1.246402094904549
10a,0.65375,1.522695892491092,1.25770825,1.3073956699264846,1.2592234959670745,1.2457422889485057
10a,0.6559375000000001,1.523917949891338,1.2585705625,1.3077038804129506,1.2595701013612994,1.2450864450376309
10a,0.6581250000000001,1.5251460625454005,1.259432875,1.308011372236363,1.259916013906219,1.2444345262859036
10a,0.6603125,1.5263802549982488,1.2602951875,1.3083181494528384,1.2602612372828441,1.2437864962718055
10a,0.6625,1.5276205519722696,1.2611575,1.308624216082254,1.2606057751405106,1.2431423190309565
10a,0.6646875,1.528866978368652,1.2620198125,1.308929576108691,1.2609496310972563,1.2425019590488915
10a,0.666875,1.5301195592687848,1.262882125,1.3092342334808698,1.2612928087401907,1.2418653812539733
10a,0.6690625,1.5313783199356699,1.2637444375,1.3095381921125775,1.2616353116258607,1.241232551010441
10a,0.67125,1.5326432858153458,1.26460675,1.3098414558830924,1.2619771432806095,1.2406034341115901
10a,0.6734374999999999,1.5339144825383317,1.2654690624999998,1.3101440286375974,1.2623183072009305,1.2399779967730804
10a,0.6756249999999999,1.5351919359210813,1.266331375,1.3104459141875902,1.2626588068538163,1.2393562056263692
10a,0.6778124999999999,1.5364756719674528,1.2671936874999998,1.3107471163112863,1.2629986456771016,1.2387380277122688
10a,0.6799999999999999,1.5377657168701941,1.268056,1.3110476387540164,1.2633378270798028,1.2381234304746234
10a,0.6821875,1.5390620970124445,1.2689183124999999,1.3113474852286164,1.2636763544424505,1.2375123817541038
10a,0.684375,1.5403648389692484,1.269780625,1.3116466594158136,1.2640142311174185,1.2369048497821167
10a,0.6865625,1.5416739695090864,1.2706429375,1.3119451649646052,1.2643514604292465,1.2363008031748275
10a,0.68875,1.542989515595424,1.27150525,1.3122430054926322,1.2646880456749607,1.235700210927293
10a,0.6909375,1.544311504388273,1.2723675625,1.3125401845865474,1.2650239901243865,1.2351030424077007
10a,0.693125,1.5456399632457685,1.273229875,1.3128367058023787,1.2653592970204597,1.234509267351716
10a,0.6953125,1.5469749197257656,1.2740921875,1.313132572665885,1.2656939695795304,1.2339188558569292
10a,0.6975,1.548316401587451,1.2749545,1.313427788672909,1.2660280109916644,1.2333317783774076
10a,0.6996875,1.5496644367929688,1.2758168125,1.3137223572897248,1.2663614244209396,1.2327480057183424
10a,0.701875,1.5510190535090658,1.276679125,1.314016281953377,1.2666942130057388,1.2321675090307953
10a,0.7040625,1.5523802801087536,1.2775414375,1.31430956607202,1.2670263798590367,1.2315902598065391
10a,0.70625,1.5537481451729869,1.2784037499999998,1.3146022130252493,1.2673579280686842,1.231016229872989
10a,0.7084375,1.555122677492359,1.2792660625,1.3148942261644263,1.2676888606976893,1.2304453913882287
10a,0.7106250000000001,1.5565039060688162,1.2801283749999999,1.3151856088130036,1.2680191807844912,1.229877716836121
10a,0.7128125000000001,1.5578918601173881,1.2809906875000001,1.3154763642668406,1.2683488913432333,1.2293131790215088
10a,0.715,1.5592865690679392,1.281853,1.3157664957945163,1.268677995364032,1.228751751065499
10a,0.7171875,1.5606880625669335,1.2827153125,1.3160560066376397,1.2690064958132399,1.228193406400832
10a,0.719375,1.562096370479223,1.283577625,1.3163449000111513,1.2693343956337069,1.2276381187673302
10a,0.7215625,1.563511522889851,1.2844399375,1.3166331791036248,1.269661697745038,1.2270858622074292
10a,0.72375,1.5649335501058765,1.28530225,1.3169208470775615,1.2699884050438448,1.2265366110617864
10a,0.7259375,1.5663624826582159,1.2861645625,1.3172079070696823,1.270314520403998,1.2259903399649643
10a,0.7281249999999999,1.5677983513035056,1.287026875,1.3174943621912143,1.2706400466768728,1.2254470238411939
10a,0.7303124999999999,1.5692411870259841,1.2878891874999998,1.3177802155281735,1.2709649866915904,1.2249066379002063
10a,0.7324999999999999,1.5706910210393916,1.2887515,1.3180654701416452,1.2712893432552606,1.2243691576331397
10a,0.7346874999999999,1.5721478847888928,1.2896138124999998,1.3183501290680582,1.271613119153216,1.223834558808517
10a,0.736875,1.5736118099530176,1.2904761249999999,1.3186341953194556,1.2719363171492466,1.2233028174682916
10a,0.7390625,1.5750828284456242,1.2913384374999999,1.3189176718837647,1.2722589399858284,1.2227739099239614
10a,0.74125,1.5765609724178808,1.29220075,1.3192005617250577,1.2725809903843524,1.2222478127527496
10a,0.7434375,1.57804627426027,1.2930630625,1.3194828677838144,1.2729024710453456,1.221724502793851
10a,0.745625,1.5795387666046141,1.293925375,1.3197645929771777,1.273223384648695,1.221203957144741
10a,0.7478125,1.5810384823261214,1.2947876875,1.320045740199207,1.2735437338538627,1.220686153157549
10a,0.75,1.5825454545454545,1.29565,1.3203263123211266,1.2738635213001022,1.2201710684354916
10b,0.4,2.0833333333333335,1.438,1.7368680591444026,1.7257226507834382,2.240504279028791
10b,0.40218750000000003,2.084285800464593,1.4403953125,1.7380746764920278,1.7273075721294442,2.235103649200645
10b,0.40437500000000004,2.085244340643805,1.442790625,1.7392767085845797,1.728887329635288,2.2297556351842367
10b,0.40656250000000005,2.086208969430341,1.4451859375,1.74047419751007,1.7304619679237025,2.224459443876576
10b,0.40875,2.0871797025035153,1.44758125,1.7416671847462275,1.732031530994181,2.2192142983122007
10b,0.4109375,2.0881565556632515,1.4499765625,1.7428557111725613,1.7335960622349642,2.214019437250618
10b,0.413125,2.0891395448307617,1.452371875,1.7440398170821205,1.7351556044347383,2.2088741147764264
10b,0.41531250000000003,2.0901286860492254,1.4547671875,1.7452195421929626,1.7367101997940426,2.2037775999116587
10b,0.41750000000000004,2.091123995484479,1.4571625,1.7463949256593385,1.7382598899364075,2.1987291762399135
10b,0.4196875,2.0921254894257126,1.4595578125,1.7475660060826046,1.7398047159192174,2.193728141541851
10b,0.421875,2.0931331842861707,1.461953125,1.7487328215218634,1.7413447182443216,2.1887738074416623
10b,0.4240625,2.0941470966038596,1.4643484375,1.74989540950435,1.7428799368683856,2.183865499064118
10b,0.42625,2.0951672430422645,1.46674375,1.7510538070355652,1.7444104112130003,2.179002554701831
10b,0.4284375,2.096193640391072,1.4691390625,1.7522080506091635,1.745936180174553,2.1741843254923774
10b,0.43062500000000004,2.0972263055668967,1.471534375,1.7533581762166062,1.7474572821338665,2.169410175104937
10b,0.43281250000000004,2.098265255614019,1.4739296875,1.7545042193565843,1.7489737549656126,2.16467947943612
10b,0.435,2.0993105077051255,1.476325,1.7556462150442163,1.7504856360475078,2.159991626314678
10b,0.4371875,2.1003620791420636,1.4787203125000001,1.7567841978200303,1.7519929622692973,2.1553460152147776
10b,0.439375,2.1014199873565933,1.481115625,1.7579182017587347,1.7534957700415306,2.1507420569775695
10b,0.4415625,2.102484249911154,1.4835109375,1.759048260477785,1.7549940953041379,2.1461791735407525
10b,0.44375000000000003,2.1035548844996352,1.48590625,1.7601744071457506,1.756487973534811,2.1416567976758776
10b,0.4459375,2.1046319089481567,1.4883015625,1.7612966744904879,1.7579774397571948,2.1371743727331314
10b,0.448125,2.105715341215851,1.490696875,1.762415094807125,1.7594625285488936,2.132731352393345
10b,0.4503125,2.106805199395662,1.4930921875,1.7635296999658656,1.7609432740492972,2.1283272004269955
10b,0.4525,2.10790150171514,1.4954875,1.7646405214196124,1.762419709967235,2.123961390459969
10b,0.4546875,2.109004266537257,1.4978828124999999,1.7657475902114195,1.7638918695884567,2.1196334057458603
10b,0.45687500000000003,2.110113512361216,1.500278125,1.766850936981775,1.7653597857829506,2.115342738944601
10b,0.45906250000000004,2.1112292578232807,1.5026734375,1.7679505919757212,1.7668234910120995,2.111088891907208
10b,0.46125,2.1123515216976045,1.50506875,1.769046585049816,1.7682830173356792,2.106871375466456
