mass_ratio,gamma,zeta_t,positive_frequency_integral,two_sided_integral
0.853,0.076,0.34,0.00805434476252127,0.01610868952504254
0.853,0.076,0.35650000000000004,0.007949271500694848,0.015898543001389695
0.853,0.076,0.373,0.007848081804705746,0.015696163609411493
0.853,0.076,0.3895,0.007750576502880122,0.015501153005760245
0.853,0.076,0.406,0.007656572840382742,0.015313145680765484
0.853,0.076,0.42250000000000004,0.007565902332378017,0.015131804664756034
0.853,0.076,0.43900000000000006,0.007478409018087658,0.014956818036175316
0.853,0.076,0.4555,0.007393948021630715,0.01478789604326143
0.853,0.076,0.47200000000000003,0.007312384351091047,0.014624768702182094
0.853,0.076,0.48850000000000005,0.007233591885102834,0.014467183770205668
0.853,0.076,0.505,0.007157452508976232,0.014314905017952463
0.853,0.076,0.5215000000000001,0.0070838553714543786,0.014167710742908757
0.853,0.076,0.538,0.007012696239939017,0.014025392479878034
0.853,0.076,0.5545,0.006943876936888027,0.013887753873776054
0.853,0.076,0.5710000000000001,0.006877304843805571,0.013754609687611143
0.853,0.076,0.5875,0.006812892462024785,0.01362578492404957
0.853,0.076,0.6040000000000001,0.00675055702159797,0.01350111404319594
0.853,0.076,0.6205,0.0066902201312836005,0.013380440262567201
0.853,0.076,0.637,0.006631807463858282,0.013263614927716563
0.853,0.076,0.6535000000000001,0.0065752484720368225,0.013150496944073645
0.853,0.076,0.67,0.006520476131032748,0.013040952262065496
0.853,0.076,0.6865,0.006467426704487832,0.012934853408975664
0.853,0.076,0.7030000000000001,0.006416039530957333,0.012832079061914666
0.853,0.076,0.7195,0.0063662568286084594,0.012732513657216919
0.853,0.076,0.736,0.0063180235160933745,0.012636047032186749
0.853,0.076,0.7525000000000001,0.006271287047882523,0.012542574095765046
0.853,0.076,0.769,0.006225997262525792,0.012451994525051585
0.853,0.076,0.7855000000000001,0.006182106242569972,0.012364212485139943
0.853,0.076,0.802,0.006139568184965768,0.012279136369931536
0.853,0.076,0.8185,0.00609833928098654,0.01219667856197308
0.853,0.076,0.8350000000000001,0.006058377604762855,0.01211675520952571
0.853,0.076,0.8515,0.006019643009664846,0.012039286019329692
0.853,0.076,0.8680000000000001,0.0059820970318403156,0.011964194063680631
0.853,0.076,0.8845000000000001,0.00594570280028569,0.01189140560057138
0.853,0.076,0.901,0.005910424952912303,0.011820849905824606
0.853,0.076,0.9175000000000001,0.00587622955810418,0.01175245911620836
0.853,0.076,0.934,0.00584308404133074,0.01168616808266148
0.853,0.076,0.9505,0.005810957116413346,0.011621914232826693
0.853,0.076,0.9670000000000001,0.005779818721086018,0.011559637442172036
0.853,0.076,0.9835,0.005749639956518294,0.011499279913036588
0.853,0.076,1.0,0.0057203930305131274,0.011440786061026255
0.853,0.0925,0.01,0.014908961490724336,0.029817922981448673
